Gene;Signature;Label;Class;Reference;DOI;Geneset_size;Description;Remark;use_ssgsea
MARVELD1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]";;TRUE
LDHB;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]";;TRUE
PFDN5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869]";;TRUE
GTSF1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"gametocyte specific factor 1 [Source:HGNC Symbol;Acc:HGNC:26565]";;TRUE
PRSS27;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"serine protease 27 [Source:HGNC Symbol;Acc:HGNC:15475]";;TRUE
TCEB2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
BCL7C;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]";;TRUE
IRX3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]";;TRUE
IRX5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]";;TRUE
CALB2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]";;TRUE
KIF1C;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]";;TRUE
C1QBP;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]";;TRUE
TMEM256;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"transmembrane protein 256 [Source:HGNC Symbol;Acc:HGNC:28618]";;TRUE
EIF4A1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]";;TRUE
KRT19;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]";;TRUE
ATP5G1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
NME1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]";;TRUE
HN1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
FAM110A;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]";;TRUE
SNRPB;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]";;TRUE
COMMD7;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"COMM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16223]";;TRUE
BPI;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]";;TRUE
PSMA7;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]";;TRUE
MRGBP;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"MRG domain binding protein [Source:HGNC Symbol;Acc:HGNC:15866]";;TRUE
POP4;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"POP4 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30081]";;TRUE
C19orf12;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]";;TRUE
NUDT19;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]";;TRUE
LRP3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]";;TRUE
LSM14A;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]";;TRUE
GPI;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]";;TRUE
GRAMD1A;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]";;TRUE
SYNE4;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"spectrin repeat containing nuclear envelope family member 4 [Source:HGNC Symbol;Acc:HGNC:26703]";;TRUE
FAM98C;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"family with sequence similarity 98 member C [Source:HGNC Symbol;Acc:HGNC:27119]";;TRUE
DYRK1B;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092]";;TRUE
EGLN2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]";;TRUE
AP2S1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]";;TRUE
PIH1D1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]";;TRUE
UBE2S;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]";;TRUE
RBX1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]";;TRUE
DSCR8;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"Down syndrome critical region 8 [Source:HGNC Symbol;Acc:HGNC:16707]";;TRUE
HNRNPA1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]";;TRUE
CHCHD2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]";;TRUE
TSPYL5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]";;TRUE
AL365205.1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
WDR77;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"WD repeat domain 77 [Source:HGNC Symbol;Acc:HGNC:29652]";;TRUE
NDC1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]";;TRUE
FZD8;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]";;TRUE
TP53BP2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]";;TRUE
RSL1D1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]";;TRUE
EIF2S2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]";;TRUE
DDOST;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]";;TRUE
MKI67;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]";;TRUE
AC012640.4;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
PRDX3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]";;TRUE
TXNDC5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073]";;TRUE
RNF11;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]";;TRUE
EEF2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]";;TRUE
SUMO3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]";;TRUE
SHC4;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]";;TRUE
RRS1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]";;TRUE
SND1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]";;TRUE
PRDX1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]";;TRUE
CFH;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]";;TRUE
C4BPA;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]";;TRUE
AGT;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]";;TRUE
KYNU;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]";;TRUE
ATP5G3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
UGT2B15;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]";;TRUE
GC;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]";;TRUE
PPIA;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]";;TRUE
IGFBP1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]";;TRUE
PON3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]";;TRUE
MTRNR2L10;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
DIAPH2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]";;TRUE
FGL1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]";;TRUE
TXN;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]";;TRUE
ORM1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"orosomucoid 1 [Source:HGNC Symbol;Acc:HGNC:8498]";;TRUE
ORM2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499]";;TRUE
C5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]";;TRUE
GAPDH;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]";;TRUE
TPI1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]";;TRUE
COX6A1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]";;TRUE
RAN;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]";;TRUE
SERPINA1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]";;TRUE
VPS35;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]";;TRUE
MTRNR2L1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
SPHK1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]";;TRUE
HM13;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]";;TRUE
LBP;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]";;TRUE
MYDGF;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"myeloid derived growth factor [Source:HGNC Symbol;Acc:HGNC:16948]";;TRUE
C19orf70;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
UBA52;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]";;TRUE
TMPRSS3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877]";;TRUE
RACK1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]";;TRUE
EIF3M;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"eukaryotic translation initiation factor 3 subunit M [Source:HGNC Symbol;Acc:HGNC:24460]";;TRUE
AGR2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]";;TRUE
MTHFD2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]";;TRUE
SUB1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985]";;TRUE
C11ORF58;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
ERP29;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]";;TRUE
TMED10;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]";;TRUE
RER1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]";;TRUE
AP3S1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]";;TRUE
COPB1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]";;TRUE
EEF1A1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]";;TRUE
FAU;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]";;TRUE
CCNDBP1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]";;TRUE
AATF;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]";;TRUE
NOX1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]";;TRUE
CHMP4A;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]";;TRUE
GSTA1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]";;TRUE
GTF3A;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"general transcription factor IIIA [Source:HGNC Symbol;Acc:HGNC:4662]";;TRUE
HNRNPH2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042]";;TRUE
CEACAM6;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]";;TRUE
C18ORF32;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
TMED5;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]";;TRUE
DERL2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]";;TRUE
VPS29;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"VPS29 retromer complex component [Source:HGNC Symbol;Acc:HGNC:14340]";;TRUE
ATP5G2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
C9ORF78;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
POLR2E;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"RNA polymerase II, I and III subunit E [Source:HGNC Symbol;Acc:HGNC:9192]";;TRUE
ZFAND6;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"zinc finger AN1-type containing 6 [Source:HGNC Symbol;Acc:HGNC:30164]";;TRUE
COMMD8;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"COMM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26036]";;TRUE
EMC3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"ER membrane protein complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:23999]";;TRUE
C5ORF15;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
RBM3;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]";;TRUE
SET;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]";;TRUE
SUMO2;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]";;TRUE
DERL1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]";;TRUE
GRTP1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"growth hormone regulated TBC protein 1 [Source:HGNC Symbol;Acc:HGNC:20310]";;TRUE
C6ORF62;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;NA;;TRUE
CASP6;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]";;TRUE
BECN1;Stem.Sig;Stem sig;Biological_process;Zhang et al. 2022;https://doi.org/10.1186/s13073-022-01050-w;454;"beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]";;TRUE
